"","Believe Taking One or More Medication No Longer Needed","","","","","Willing To Deprescribe If Doctor Said Possible","","","","","Uncomfortable Taking 5 Or More Pills","","","",""
"Chronic Conditions","",""," ","0.212323025815886","","",""," ","0.387380236495609","","",""," ","0.787490986128193",""
"0-1","15/67","24%","28% (17%, 42%)","","","54/66","85%","89% (81%, 94%)","","","42/67","61%","53% (37%, 68%)","",""
"2-3","26/132","17%","15% (9%, 24%)","","","121/136","91%","93% (86%, 96%)","","","65/129","51%","52% (41%, 64%)","",""
">3","22/92","29%","22% (13%, 35%)","","","83/96","91%","92% (83%, 97%)","","","39/88","50%","60% (44%, 74%)","",""
"Regular Medications","",""," ","0.0044499256976576","*","",""," ","0.024353548375947","*","",""," ","<0.001","*"
"Less Than 6","21/136","14%","12% (6%, 20%)","","","108/136","83%","85% (78%, 90%)","","","105/134","81%","80% (71%, 87%)","",""
"6 Or More","42/149","31%","32% (23%, 42%)","","","145/157","95%","95% (89%, 98%)","","","40/143","28%","28% (20%, 38%)","",""
"Self-Rated Health","",""," ","0.0061803503132406","*","",""," ","0.100061068919358","","",""," ","0.858434869603207",""
"Excellent/Very Good","10/88","9%","9% (4%, 18%)","","","81/89","95%","96% (89%, 99%)","","","50/89","58%","56% (43%, 68%)","",""
"Good","16/92","21%","18% (10%, 30%)","","","76/92","84%","88% (80%, 93%)","","","48/92","56%","56% (40%, 71%)","",""
"Fair/Poor","37/110","37%","35% (24%, 47%)","","","101/116","90%","90% (82%, 95%)","","","48/103","45%","52% (39%, 65%)","",""
"Dementia Classification","",""," ","0.363486659007898","","",""," ","0.64684011325562","","",""," ","0.342799748750453",""
"Possible Dementia","39/161","26%","23% (16%, 32%)","","","142/163","90%","92% (87%, 96%)","","","78/159","51%","52% (42%, 61%)","",""
"Probable Dementia","24/130","18%","17% (11%, 27%)","","","116/135","89%","91% (82%, 96%)","","","68/125","58%","59% (47%, 70%)","",""
"Reported Dementia Diagnosis","",""," ","0.818508316343722","","",""," ","0.623905522508859","","",""," ","0.458044154202285",""
"No Dementia Diagnosis","48/222","23%","21% (15%, 28%)","","","192/225","88%","91% (86%, 95%)","","","115/217","54%","53% (45%, 61%)","",""
"Dementia Diagnosed","15/69","22%","19% (10%, 33%)","","","66/73","93%","94% (78%, 98%)","","","31/67","52%","61% (41%, 78%)","",""
"Hospitalized In Past Year","",""," ","0.313951026995178","","",""," ","0.435748218099429","","",""," ","0.64329263009172",""
"Not Hospitalized","39/204","20%","18% (13%, 25%)","","","175/207","87%","91% (84%, 95%)","","","113/198","58%","56% (47%, 65%)","",""
"Hospitalized In Past Year","",""," ","0.313951026995178","","",""," ","0.435748218099429","","",""," ","0.64329263009172",""
"Seen Regular Doctor In Past Year","",""," ","","","",""," ","","","",""," ","",""
"Did Not See Doctor","8/30","18%","18% (6%, 45%)","","","20/27","84%","90% (73%, 97%)","","","17/25","69%","60% (31%, 84%)","",""
"Seen Doctor","55/261","23%","21% (15%, 28%)","","","238/271","90%","92% (87%, 95%)","","","129/259","52%","54% (47%, 62%)","",""
"Adl Difficulties","",""," ","0.9665912714171","","",""," ","0.186735160274502","","",""," ","0.12254449415039",""
"<2","52/244","23%","20% (15%, 27%)","","","218/250","90%","93% (89%, 96%)","","","129/238","56%","58% (50%, 65%)","",""
">=2","11/47","22%","21% (10%, 39%)","","","40/48","85%","86% (67%, 95%)","","","17/46","38%","40% (22%, 61%)","",""
"Difficulty Tracking Medications","",""," ","0.19120073676269","","",""," ","0.714240656966529","","",""," ","0.0176117759489279","*"
"No Difficulty","22/121","20%","16% (10%, 26%)","","","106/124","91%","92% (86%, 96%)","","","73/119","60%","65% (54%, 74%)","",""
"Difficulty","37/146","27%","25% (17%, 35%)","","","137/153","91%","91% (83%, 96%)","","","56/143","37%","44% (32%, 56%)","",""
"Fall In Past Month","",""," ","0.816154901450933","","",""," ","0.0641536390959132","","",""," ","0.0987563976201601",""
"No Falls","52/241","23%","21% (15%, 27%)","","","217/246","91%","93% (88%, 96%)","","","127/235","56%","57% (49%, 64%)","",""
"Fallen","11/50","19%","19% (8%, 38%)","","","41/52","82%","82% (64%, 92%)","","","19/49","38%","42% (27%, 59%)","",""
